ADDRESS
"2501 Magin Meadow Dr, Austin, TX"
"9409 Bluegrass Dr, Austin, TX"
"2818 Palomino Trail, Austin, TX"
"Austin, TX"
"800 Grove Blvd, Austin, TX"
"415 East Mary Street, Austin, TX"
"Braker Lane And Metric, Travis, TX"
"6600 Elm Creek, Austin, TX"
"8800 South First Street, Austin, TX"
"Galilee Court And Damita Jo Dr, Manor, TX"
"9705 Thaxton, Austin, TX"
"4424 S Mopac Expwy, Austin, TX"
"208 Beaver St, Austin, TX"
"3110 Guadalupe Street, Austin, TX"
"6118 Fairway, Austin, TX"
"South First And Stassney, Austin, TX"
"1501 S Fm 973, Austin, TX"
"1801 Westridge, Austin, TX"
"7500 South Interstate 35, Austin, TX"
"2307 Ventura, Austin, TX"
"3737 Keats Dr, Austin, TX"
"East Pleasant Valley And Stassney, Austin, TX"
"10508 Twilight Vista, Austin, TX"
"4800 Cottonwood St, Austin, TX"
"Guadalupe/St. Johns, Austin, TX"
Outside Jurisdiction
"5306  Peppertree, Austin, TX"
"2504 Stratford Drive, Austin, TX"
"1834 Ferguson, Austin, TX"
"2504 Huntwick Dr, Austin, TX"
"7800 San Felipe Boulevard, Austin, TX"
"17833 Basket Flower Bend, Travis, TX"
"4434 Frontier Trl, Austin, TX"
"Travis, TX"
"4200 Smith School Rd, Austin, TX"
"Mcneil Drive & Burnet Road, Austin, TX"
"1709 East 38Th Street, Austin, TX"
"11699 James B Connolly Ln, Austin, TX"
"1328 Lamar Square Dr, Austin, TX"
"Thaxton And Sassman, Austin, TX"
"18120 River Timber Drive, Travis, TX"
"1054 Springdale Rd #108, Austin, TX"
"20209 Grover Cleaveland Way, Manor, TX"
"8220 W Hwy 71, Austin, TX"
"127 West Anderson Lane, Austin, TX"
"12928 Ceder, Travis, TX"
"502 Chihuahua Trl, Austin, TX"
"5055 Hwy 71 E, Del Valle, TX"
"1104 Durham Dr, Austin, TX"
"Loyola And Sandshof, Austin, TX"
"15207 Tacon Ln, Pflugerville, TX"
"8515 S Ih 35, Austin, TX"
"Colonial Park And Weidemar, Austin, TX"
"14229 Gilford Drive, Travis, TX"
"5801 W Us Hwy 290 Service Rd, Austin, TX"
"25212 Lakeview Dr, Travis, TX"
"11204 Liberty Farms Drive, Austin, TX"
"10195 Thistle Ridge, Austin, TX"
"5400 Freidrich Ln, Austin, TX"
"14620 North Interstate 35, Austin, TX"
"7001 South Congress Avenue, Austin, TX"
"14901 Mossycup Ln, Travis, TX"
"7619 E Ben White Blvd, Austin, TX"
"Loyola And Sendero Hills, Austin, TX"
"Research And Anderson Square, Austin, TX"
"Melwood Dr & Tiner Trail, Austin, TX"
"Shreveport Dr And Odie Ln, Austin, TX"
"Elfen Way, Austin, TX"
"2115 Campfield Pkwy, Austin, TX"
"Martin Luther King Boulevard E And Sendero Hills Parkway, Austin, TX"
"4703 Nuckols Crossing, Austin, TX"
"14701 Burns, Travis, TX"
"4434 Frontier Trail, Austin, TX"
"2201 Montopolis, Austin, TX"
"6400 Huntleigh Way, Austin, TX"
"Bittercreek And Bluff Springs, Austin, TX"
"4715 S Congress, Austin, TX"
"2808 Harpers Ferry, Austin, TX"
"4806 Lyons Road, Austin, TX"
"845 N Meadows Dr, Austin, TX"
"2763 Citation Drive, Del Valle, TX"
"11900 Green Crove, Austin, TX"
"13425 Coomes Dr, Del Valle, TX"
