FIPStxt,Stabr,Unemployment_rate_2008,Unemployment_rate_2012,Unemployment_rate_2016
00000,US,5.788697231210938,8.070436331325027,4.8690066110480466
01000,AL,5.7,8.0,5.8
01001,AL,5.1,6.9,5.1
01003,AL,4.6,7.5,5.3
01005,AL,8.8,11.5,8.3
01007,AL,5.8,8.5,6.4
01009,AL,4.7,6.9,5.4
01011,AL,10.5,10.4,6.8
01013,AL,8.5,11.5,6.9
01015,AL,5.7,8.9,6.5
01017,AL,14.4,9.9,5.4
01019,AL,5.7,8.0,5.0
01021,AL,5.1,7.2,5.5
01023,AL,8.3,10.3,8.5
01025,AL,9.0,15.0,10.8
01027,AL,7.9,9.4,5.9
01029,AL,5.1,8.2,6.0
01031,AL,4.8,7.0,5.8
01033,AL,6.5,8.8,6.9
01035,AL,9.4,11.9,8.4
01037,AL,8.3,9.4,6.0
01039,AL,5.9,8.4,6.7
01041,AL,5.6,8.3,5.8
01043,AL,4.9,7.7,5.0
01045,AL,5.4,7.4,5.8
01047,AL,11.1,12.9,9.2
01049,AL,5.8,9.0,6.0
01051,AL,5.1,6.9,4.7
01053,AL,7.6,9.2,6.6
01055,AL,6.0,8.2,5.9
01057,AL,7.2,8.6,6.7
01059,AL,7.4,8.4,5.9
01061,AL,5.5,7.6,5.8
01063,AL,8.5,13.6,9.9
01065,AL,7.4,11.5,7.6
01067,AL,7.7,8.3,6.5
01069,AL,4.9,7.5,5.8
01071,AL,6.2,8.6,6.3
01073,AL,5.4,7.4,5.7
01075,AL,8.0,7.5,5.6
01077,AL,5.7,7.7,6.3
01079,AL,6.5,9.0,6.9
01081,AL,5.2,6.8,5.2
01083,AL,4.7,6.9,5.2
01085,AL,10.9,15.4,10.5
01087,AL,7.4,10.7,7.6
01089,AL,4.2,6.9,5.1
01091,AL,7.4,10.2,7.1
01093,AL,8.0,8.9,6.6
01095,AL,4.7,7.8,5.3
01097,AL,5.7,9.2,6.6
01099,AL,10.2,12.5,9.0
01101,AL,5.9,8.1,5.6
01103,AL,5.2,7.8,5.5
01105,AL,11.3,13.3,10.3
01107,AL,7.1,10.2,6.8
01109,AL,4.9,8.0,6.5
01111,AL,7.3,9.2,5.6
01113,AL,8.0,8.8,5.5
01115,AL,5.0,6.9,5.2
01117,AL,3.7,5.0,4.3
01119,AL,8.7,10.5,7.7
01121,AL,7.2,9.4,6.6
01123,AL,7.2,8.6,5.6
01125,AL,4.7,7.0,5.6
01127,AL,5.7,9.2,7.4
01129,AL,8.4,11.9,8.6
01131,AL,14.0,19.9,14.4
01133,AL,8.7,10.0,7.1
02000,AK,6.7,7.1,6.9
02013,AK,8.7,6.8,2.7
02016,AK,5.8,6.9,3.3
02020,AK,5.4,5.4,5.5
02050,AK,13.9,15.4,14.2
02060,AK,4.9,9.8,7.0
02068,AK,6.1,13.8,9.1
02070,AK,9.3,9.9,9.6
02090,AK,6.1,6.1,5.9
02100,AK,8.8,10.0,10.3
02105,AK,,14.3,11.8
02110,AK,4.8,5.1,4.5
02122,AK,8.2,8.6,8.5
02130,AK,5.9,8.1,6.5
02150,AK,6.8,6.7,5.1
02158,AK,20.6,22.1,21.6
02164,AK,6.9,15.2,12.5
02170,AK,7.6,8.7,8.2
02180,AK,10.4,11.7,12.7
02185,AK,4.2,7.7,6.8
02188,AK,11.6,15.7,16.0
02195,AK,,8.1,9.0
02198,AK,,13.3,12.2
02201,AK,13.8,,
02220,AK,5.8,5.7,4.6
02230,AK,,14.1,11.2
02232,AK,12.9,,
02240,AK,8.8,12.9,10.8
02261,AK,8.4,9.7,8.6
02275,AK,,8.2,7.5
02280,AK,10.7,,
02282,AK,7.5,9.7,8.2
02290,AK,14.1,17.4,17.9
04000,AZ,6.2,8.3,5.4
04001,AZ,11.6,19.0,11.4
04003,AZ,5.9,9.0,6.2
04005,AZ,5.6,8.6,6.0
04007,AZ,6.5,10.2,7.2
04009,AZ,7.1,8.5,6.7
04011,AZ,5.3,8.2,7.6
04012,AZ,7.7,8.6,6.0
04013,AZ,5.4,7.3,4.6
04015,AZ,7.7,11.0,6.6
04017,AZ,10.1,14.1,8.2
04019,AZ,5.8,7.4,4.9
04021,AZ,7.4,8.5,5.5
04023,AZ,11.0,15.4,10.0
04025,AZ,6.2,8.6,4.9
04027,AZ,18.4,23.9,18.8
05000,AR,5.5,7.6,4.0
05001,AR,9.8,8.8,3.4
05003,AR,7.6,12.0,6.1
05005,AR,6.0,8.4,4.3
05007,AR,4.1,6.0,2.9
05009,AR,5.5,7.6,3.7
05011,AR,7.2,10.7,5.0
05013,AR,6.2,9.1,4.6
05015,AR,4.5,6.3,3.6
05017,AR,8.3,11.4,6.6
05019,AR,5.9,9.9,4.3
05021,AR,8.1,11.0,5.6
05023,AR,5.6,8.5,5.9
05025,AR,5.9,7.4,4.5
05027,AR,7.0,9.0,5.7
05029,AR,5.5,9.2,5.7
05031,AR,4.9,6.9,3.2
05033,AR,4.9,8.0,3.9
05035,AR,7.9,9.6,4.5
05037,AR,6.8,7.9,4.4
05039,AR,7.2,11.1,4.8
05041,AR,8.8,9.9,5.4
05043,AR,7.9,10.5,5.7
05045,AR,4.8,6.6,3.8
05047,AR,4.5,7.1,4.0
05049,AR,5.2,7.2,4.3
05051,AR,5.6,7.9,4.3
05053,AR,5.2,6.8,3.6
05055,AR,6.6,8.7,4.3
05057,AR,5.8,7.3,3.8
05059,AR,6.6,7.2,3.9
05061,AR,5.5,6.7,3.3
05063,AR,7.0,9.2,4.9
05065,AR,6.7,8.8,5.6
05067,AR,7.8,10.8,6.2
05069,AR,7.7,10.0,5.6
05071,AR,4.7,7.4,4.7
05073,AR,7.1,9.4,5.8
05075,AR,7.1,9.1,4.3
05077,AR,8.5,9.5,4.7
05079,AR,8.1,8.8,4.8
05081,AR,3.9,7.3,4.7
05083,AR,6.5,8.0,4.6
05085,AR,4.5,6.4,3.3
05087,AR,4.4,5.9,3.2
05089,AR,6.3,8.2,4.0
05091,AR,4.0,6.0,4.2
05093,AR,7.7,11.0,6.8
05095,AR,6.4,9.0,4.8
05097,AR,5.7,8.4,5.1
05099,AR,6.8,7.8,3.7
05101,AR,5.7,7.3,3.9
05103,AR,6.4,10.4,5.0
05105,AR,5.6,9.1,4.8
05107,AR,7.2,11.6,5.9
05109,AR,6.1,9.0,4.2
